Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron
2013-09-02,Breakfast,312.0,10.6,0.0,1.0,1.5,0.4,0.0,105.0,150.0,46.6,5.0,12.0,10.4,15.0,20.0,0.0,10.0
2013-09-02,Lunch,761.0,16.0,4.4,3.8,5.8,0.0,178.6,187.0,459.8,90.0,2.0,0.0,59.4,2.4,0.0,4.2,19.8
2013-09-02,Snacks,486.0,15.6,6.8,2.4,5.6,0.0,7.2,578.8,0.0,76.8,4.4,30.0,10.0,0.0,0.0,0.0,0.0
2013-09-24,Lunch,579.5,8.0,2.2,1.9,2.9,0.0,89.3,100.5,229.9,90.0,2.0,0.0,33.7,1.2,0.0,3.1,12.9
2013-09-24,Dinner,475.0,14.5,4.0,0.0,0.0,0.0,70.0,260.0,300.0,47.0,9.5,24.0,39.5,0.0,0.0,15.0,8.0
2013-10-03,Breakfast,580.0,24.4,17.0,0.0,0.0,0.0,90.0,1700.0,0.0,50.0,0.0,2.6,30.6,12.0,4.0,50.0,30.0
2013-10-03,Lunch,684.5,8.4,2.3,1.9,2.9,0.0,89.3,101.7,659.9,117.4,5.1,14.7,34.9,2.4,18.0,4.3,14.1
2013-10-03,Dinner,780.0,21.0,8.9,0.0,0.0,1.0,100.0,1980.0,0.0,98.0,7.0,16.0,53.0,20.0,45.0,90.0,50.0
2013-10-03,Snacks,264.6,8.2,3.6,1.4,2.8,0.0,4.0,318.0,0.0,43.0,2.4,17.2,4.6,0.0,0.0,0.0,0.0
2013-10-05,Breakfast,535.0,15.3,3.9,1.0,1.0,0.0,70.0,322.0,405.0,61.6,12.1,24.6,39.0,7.5,0.0,16.0,53.0
2013-10-05,Dinner,630.0,13.6,3.8,0.0,0.0,0.0,70.0,254.4,1160.0,95.4,14.8,49.0,38.4,2.4,36.0,17.4,10.4
